mutantId,project,package,path,filename,class,method,eventType,originalExp,mutatedExp,startLine,endLine,sourceCodeLocation,evaluationResult
1,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","==(java.lang.Object,java.lang.Object)",74,81,75,dateType != Date.class |==> dateType == Date.class
2,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",74,81,75,dateType != Date.class |==> false
3,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",74,81,75,dateType != Date.class |==> true
4,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","==(java.lang.Object,java.lang.Object)",74,81,75,dateType != java.sql.Date.class |==> dateType == java.sql.Date.class
5,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",74,81,75,dateType != java.sql.Date.class |==> false
6,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,ROR,"!=(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",74,81,75,dateType != java.sql.Date.class |==> true
7,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","!=(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> dateType != Date.class != (dateType != java.sql.Date.class)
8,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","==(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> dateType != Date.class == (dateType != java.sql.Date.class)
9,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> false
10,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> dateType != Date.class
11,Gson-18,com.google.gson,rdimadadi/Documents/Projects/Studies/Research/hl_dev/data/packages/Gson-18/src/main/java/com/google/gson,DefaultDateTypeAdapter.java,DefaultDateTypeAdapter,<init>,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",74,81,75,dateType != Date.class && dateType != java.sql.Date.class |==> dateType != java.sql.Date.class
